rid,prompt,item,retained
R949,2,outlier_provenance,1
R949,2,reconciliation_check,1
R970,1,instrument_validity,1
R970,1,retest_path,1
R970,1,o2_multigas,0
R970,1,loto_isolation,1
R970,1,engulfment_stop,0
R987,3,checklist_ne_labels,1
R987,3,count_honesty,0
R987,3,inspect_destroy_tree,1
R987,3,fill_vs_label_pivot,0
R989,1,instrument_validity,1
R989,1,retest_path,1
R989,1,o2_multigas,1
R989,1,loto_isolation,0
R989,1,engulfment_stop,0
R992,2,outlier_provenance,1
R992,2,reconciliation_check,1
